KakaoTalk Chats 자전컴과방 (27)
Date Saved : 1:13PM, January 21, 2014


11:36AM, March 8, 2013
5:55PM, March 10, 2013, 동권 : ㄴㅅㅅ
5:55PM, March 10, 2013, 노승은 : 아 ㅋㅋ
6:40PM, March 10, 2013, 이현제 : 이니셜로 통하네욬ㅋㅋㅋ

1:36PM, March 11, 2013
1:36PM, March 11, 2013, 오성민 : 오늘 ㄴㄱㅅ 퀴즈 뭘공부해야할가?
2:09PM, March 11, 2013, 정형식프원 : 저그냥 pdf위주로.. ㅜㅜ

9:36AM, March 12, 2013
9:36AM, March 12, 2013, 오성민 : 오늘 저녁에 비온답니다. 우산 챙기시길
9:36AM, March 12, 2013, 은진수 cls 10 : 성민아 책가져가 점심때
9:37AM, March 12, 2013, 오성민 : ㅇㅇ 어디익을거??
9:38AM, March 12, 2013, 은진수 cls 10 : 학관쪽
9:38AM, March 12, 2013, 오성민 : 음.. 나 302동에 잇는데 ㅋㅋㅋ 너 김민기 형 암?
9:40AM, March 12, 2013, 은진수 cls 10 : 민기형??
9:40AM, March 12, 2013, 은진수 cls 10 : 모름
10:03AM, March 12, 2013, 이소명 : ㅠㅠ 우산 안 갖고 왔는데...ㅠㅠ
10:04AM, March 12, 2013, 조현익 : 오후부터 내린다니까 일찍 집에가면 될듯요
10:04AM, March 12, 2013, 조현익 : 아님 밤샘 논설실(...)
10:58AM, March 12, 2013, 오성민 : ㅇㅈㅅ 논설 끝나고 아랫동네 가서 연락할게
10:58AM, March 12, 2013, 오성민 : ㅈㅎㅇ 아직 ㄴㅅㅅ 그정도 아님. 가뿐함.. (잘난척)
10:58AM, March 12, 2013, 동권 : 우산미아
10:58AM, March 12, 2013, 동권 : 내가한거자나
10:58AM, March 12, 2013, 동권 : ㅋㅋㅋㅋ
10:58AM, March 12, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10:58AM, March 12, 2013, 오성민 : (반함)엘디케이(반함)
10:59AM, March 12, 2013, 동권 : 자이링스 근데 걍 노가다프로그램이라
10:59AM, March 12, 2013, 동권 : 알고있는게 자랑이아님(눈물)(눈물)
10:59AM, March 12, 2013, 동권 : (반함)ㅇㅅㅁ(반함)
10:59AM, March 12, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋㅋㅋ 내일도 일찍끝낫음좋겟다
10:59AM, March 12, 2013, 동권 : ㅋㅋㅋㅋ 낼 실험내용 뭐임!
11:01AM, March 12, 2013, 오성민 : 인두
11:02AM, March 12, 2013, 오성민 : 솔더링
11:02AM, March 12, 2013, 오성민 : 니퍼. 플라이어. 비드니퍼
11:02AM, March 12, 2013, 오성민 : 뭐이런거 써보는 거인듯
11:02AM, March 12, 2013, 동권 : 굳
11:02AM, March 12, 2013, 동권 : 납땜굳
11:03AM, March 12, 2013, 오성민 : 납중독걸림어케
11:07AM, March 12, 2013, 동권 : 결혼못하는거지뭐

10:23PM, March 15, 2013
10:23PM, March 15, 2013, 이다솔 : ㅋㅋㅋ
10:23PM, March 15, 2013, 이다솔 : 논리설계숙제떳어요!ㅋㅋㅋ
10:23PM, March 15, 2013, 이다솔 : 루비스확인해보세요~~~
10:31PM, March 15, 2013, 이소명 : 신난다~
11:41PM, March 15, 2013, 이현제 : 내일 학교서 해치워야지

12:56AM, March 16, 2013
12:56AM, March 16, 2013, 호정 : 오늘 소프트웨어 응용 들은 사람..! 오늘 뭐 했어요?
11:20PM, March 16, 2013, 동권 : 없나보다 호정아 ㅋㅋㅋ
11:20PM, March 16, 2013, 동권 : 결과보고서 세장이랬나요
11:21PM, March 16, 2013, 오성민 : 두세장인데 더길어도된데
11:21PM, March 16, 2013, 오성민 : 느 네장
11:21PM, March 16, 2013, 오성민 : 나 네장
11:21PM, March 16, 2013, 동권 : ㅋㅋㅋ 그거 어차피 채점안하고
11:21PM, March 16, 2013, 동권 : 체크체크 할텐데
11:21PM, March 16, 2013, 동권 : 성실허유
11:21PM, March 16, 2013, 오성민 : 사진붙이니까 네장나오던데
11:21PM, March 16, 2013, 오성민 : 진리표랑
11:21PM, March 16, 2013, 동권 : 근데 무슨내용쓰지 쓸내용없을거같은데
11:21PM, March 16, 2013, 동권 : 진리표 만듦?ㅋㅋㅋ
11:22PM, March 16, 2013, 동권 : 성실킹이다
11:22PM, March 16, 2013, 오성민 : 얼마안걸려
11:22PM, March 16, 2013, 오성민 : 진리표하거 그거랑 시뮬값이랑 같다고 햇음
11:22PM, March 16, 2013, 오성민 : 글고 빵판 내용도 써야도ㅑ
11:22PM, March 16, 2013, 동권 : 아맞다빵판
11:22PM, March 16, 2013, 오성민 : 그 유닛 머시기 기계
11:22PM, March 16, 2013, 동권 : 빵판사진있어??
11:22PM, March 16, 2013, 오성민 : 루비스 드가보면 잇음
11:22PM, March 16, 2013, 오성민 : 하지만 난 안씀
11:22PM, March 16, 2013, 동권 : ㅇㅋㄷㅋ
11:22PM, March 16, 2013, 오성민 : 루비수가아니아
11:22PM, March 16, 2013, 동권 : 오늘 끝내구자야겟다
11:22PM, March 16, 2013, 오성민 : 이티엫
11:23PM, March 16, 2013, 동권 : 굳굳
11:23PM, March 16, 2013, 동권 : 군단의심장 명작이야
11:23PM, March 16, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋ
11:23PM, March 16, 2013, 동권 : 하루만에다깸
11:23PM, March 16, 2013, 동권 : 짧고굵게 재밌었다
11:23PM, March 16, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ밤샘?
11:24PM, March 16, 2013, 동권 : ㅇㅇ 10시간쯤 걸림
11:24PM, March 16, 2013, 동권 : 원래 덜걸리는데 게임속도 느림으로 해놓고해서 ㄱ-
11:25PM, March 16, 2013, 이현제 : 하 군단의 심장...
11:25PM, March 16, 2013, 오성민 : ㅋㅋ 엘디케 짱
11:27PM, March 16, 2013, 이현제 : 날 잡고 피방에서 해야지...
11:37PM, March 16, 2013, 동권 : 영상을 참 잘만들었어

2:02PM, March 19, 2013
2:02PM, March 19, 2013, 이현제 : http://www.youngsamsung.com/reportarticle.do?cmd=view&tid=554&seq=281
2:05PM, March 19, 2013, 은진수 cls 10 : 오 ㅋㅋㅋㅋㅋㅋ
2:05PM, March 19, 2013, 오성민 : 뭔데?
2:06PM, March 19, 2013, 은진수 cls 10 : 선재가 쓴 기사인데
2:06PM, March 19, 2013, 은진수 cls 10 : 문과에서 컴공 전공한 사람들 인터뷰
2:06PM, March 19, 2013, 은진수 cls 10 : 다솔이랑 호정이 나옴 ㅋㅋㅋ
2:17PM, March 19, 2013, 오성민 : 그르네 ㅋㅋㅋㅋ
2:58PM, March 19, 2013, 이소명 : ㅎㅎㅎㅎ
4:06PM, March 19, 2013, 정형식프원 : 주커버그가 문과생이면 난 이과생이겠다 ㅋㅋㅋ
4:08PM, March 19, 2013, 이소명 : 주커버그 까지마세요. 고등학교 선배에요. ㅎㅎ
4:12PM, March 19, 2013, 정형식프원 : 아 까는거 절대 아니고요(어찌감히:::) 문과->이과의 예로 좀 안맞는거같아서요 ㅜ 
4:13PM, March 19, 2013, 동권 : 주커버그가 아마 우리보다 한살많을때 페북만들었던거같은데
4:14PM, March 19, 2013, 이소명 : ㅋㅋㅋㅋㅋㅋ
4:14PM, March 19, 2013, you : 헉 philips exter..............
4:14PM, March 19, 2013, 이소명 : exeter임
4:14PM, March 19, 2013, you : exeter
4:14PM, March 19, 2013, 이소명 : 스펠링 잘하라구 ㅋㅋㅋㅋㅋㅋㅋㅋ
4:15PM, March 19, 2013, you : 넵 전 일반고딩여서 이름도 제데로 모르고있네요 ㅋㅋㅋㅋ
4:17PM, March 19, 2013, 동권 : 그게 주커버그 풀네임?
4:18PM, March 19, 2013, 전민영 cls11이조 : 얘들아 나도 한국의 주커버그가 될 얘정임
4:18PM, March 19, 2013, 동권 : 마크 아닌가
4:18PM, March 19, 2013, 전민영 cls11이조 : 예정ㅋㅋ
4:18PM, March 19, 2013, 전민영 cls11이조 : 얘들아라고하다보니깐ㅋㅋ
4:18PM, March 19, 2013, 동권 : 나 지분 10프로만
4:18PM, March 19, 2013, 전민영 cls11이조 : ㅋㅋ개발도와줘
4:18PM, March 19, 2013, 동권 : 아이디어만 줘 ㅋㅋ
4:19PM, March 19, 2013, 이소명 : 차라리 네가 아이디어 내서 선수치지
4:19PM, March 19, 2013, 전민영 cls11이조 : 아이디어는 나만알거임
4:19PM, March 19, 2013, 이소명 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4:20PM, March 19, 2013, you : ㅋㅋㅋㅋㅋㅋㅋ 난 걍 이름포함해줘. 주식도 좀 부탁
4:20PM, March 19, 2013, 전민영 cls11이조 : ㅋㅋㅋ개발도와줘야지
4:23PM, March 19, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ난 경비..
4:25PM, March 19, 2013, 전민영 cls11이조 : 형...ㅋㅋㅋ
4:27PM, March 19, 2013, 이종혁 cls09이조 : 나한테 알려주면 개발 다해줄게
4:27PM, March 19, 2013, 이종혁 cls09이조 : 그리고 내이름으로 내야지
4:32PM, March 19, 2013, 전민영 cls11이조 : ㅋㅋㅋ
4:32PM, March 19, 2013, 전민영 cls11이조 : 여기 완전 정글이네
9:31PM, March 19, 2013, 오성민 : 크리티컬 패스 딜레이가 머지
9:33PM, March 19, 2013, 은진수 cls 10 : 구글링 ㄲ
9:37PM, March 19, 2013, 오성민 : 영어 ㅅㅂ
9:41PM, March 19, 2013, 정형식프원 : 왜이건다른학교 자료가 안나오지ㅜㅜ
9:47PM, March 19, 2013, 최석원 호바스자전 invited 이재동.
9:47PM, March 19, 2013, 최석원 호바스자전 : 컴공 자전
9:48PM, March 19, 2013, 오성민 : 아오빡쳐
9:48PM, March 19, 2013, 오성민 : 예보
9:48PM, March 19, 2013, 오성민 : 뭐 자료어케찾음
9:48PM, March 19, 2013, 이재동 : 안녕하세요 컴공12과대 이재동입니다
9:48PM, March 19, 2013, 이재동 : 이번에 12뻔엠 때문에 그러는데요
9:48PM, March 19, 2013, 이재동 : 뻔엠 같이 가시고 싶으신분들은 컴공 공지방에서
9:48PM, March 19, 2013, 이재동 : 투표해주셔도 좋습니다!!
9:49PM, March 19, 2013, 이재동 : 감사합니다~
9:51PM, March 19, 2013, 이재동 left this chatroom.
9:57PM, March 19, 2013, 오성민 : 빠르고 쿨하군
9:57PM, March 19, 2013, 은진수 cls 10 : 12가 아니면 못감???
9:58PM, March 19, 2013, 은진수 cls 10 : 물론 제가 가고 싶다는 이야기는 아니구요
10:12PM, March 19, 2013, 이소명 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10:14PM, March 19, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11:25PM, March 19, 2013, 오성민 : 애드랑
11:25PM, March 19, 2013, 오성민 : ㄴㅅㅅ 아이들아

12:02AM, March 20, 2013
12:02AM, March 20, 2013, 동권 : ㅇㅇ
12:04AM, March 20, 2013, 오성민 : 예보다썻녀
12:05AM, March 20, 2013, 오성민 : 은진수
12:05AM, March 20, 2013, 은진수 cls 10 : ㅇㅇ
12:05AM, March 20, 2013, 오성민 : 대중문화연구회
12:05AM, March 20, 2013, 은진수 cls 10 : 나 배터리없어
12:05AM, March 20, 2013, 은진수 cls 10 : ㅇㅇ
12:05AM, March 20, 2013, 은진수 cls 10 : 빨리 말해
12:05AM, March 20, 2013, 오성민 : 동아리 업에는거 신청할9ㅅ다는데
12:05AM, March 20, 2013, 오성민 : 막음
12:05AM, March 20, 2013, 오성민 : 나 가입함
12:05AM, March 20, 2013, 은진수 cls 10 : ㅇㅇ
12:05AM, March 20, 2013, 은진수 cls 10 : 나듀 가입
12:05AM, March 20, 2013, 은진수 cls 10 : ㄲ
12:05AM, March 20, 2013, 오성민 : 내일부터 동방ㄱㄱ
12:05AM, March 20, 2013, 오성민 : ㅇㅋ
12:05AM, March 20, 2013, 은진수 cls 10 : ㄱ ㄱ ㄱ ㄱ
12:06AM, March 20, 2013, 은진수 cls 10 : 이건 갠톡으로 해도 되자나 ㅋㅋㅋㅋㅋㅋ
12:06AM, March 20, 2013, 오성민 : ㄴㄴ 홍보임 이것도
12:22AM, March 20, 2013, 동권 : 예보 쓸거많아?
12:22AM, March 20, 2013, 동권 : 나 이제 집드가눈데
12:23AM, March 20, 2013, 오성민 : 엄따
12:23AM, March 20, 2013, 오성민 : 아깐 자료 안찾아졋는데
12:23AM, March 20, 2013, 오성민 : 집와서 하니까 직빵인0
12:24AM, March 20, 2013, 동권 : 주제 모야?
12:24AM, March 20, 2013, 동권 : 집가서 라면먹고싶네
12:24AM, March 20, 2013, 동권 : 신환회라고 무리햇더ㅠ
12:24AM, March 20, 2013, 동권 : 다
12:24AM, March 20, 2013, 동권 : 귀척아님 오타
12:25AM, March 20, 2013, 정형식프원 : ㅋㅋㅋㅋㅋㅋㅋㅋ_
12:30AM, March 20, 2013, 오성민 : 뮤슨신한회
12:30AM, March 20, 2013, 오성민 : 주제 크리티컬 패스 딜레이
12:30AM, March 20, 2013, 오성민 : 그리고 회로그리기
1:22AM, March 20, 2013, 동권 : 스핀ㅋㅋ 모르는거잔뜩 ㅜ
1:23AM, March 20, 2013, 오성민 : ㅋㅋㅋ 난잔다
1:23AM, March 20, 2013, 동권 : ㅋㅋㅋㅋ 난 못잔당
2:38AM, March 20, 2013, 이다솔 : 오늘거예비보고서ㅠㅠ힘드신분
http://faculty.kfupm.edu.sa/COE/abouh/Lesson2_6.pdf
2:38AM, March 20, 2013, 이다솔 : 참고하세요 (방긋)(방긋)
7:49AM, March 20, 2013, 오성민 : 구글링의달인
8:12AM, March 20, 2013, 이소명 : 다도리 고마워 ㅋ
8:17AM, March 20, 2013, 이다솔 : ㅋㅋㅋㅋㅋㅋ
12:15PM, March 20, 2013, 오성민 : 현제야
3:09PM, March 20, 2013, 이현제 : 네?
4:36PM, March 20, 2013, 전민영 cls11이조 : 인민에어 사는거 어떤감 여기에묻고싶네
4:37PM, March 20, 2013, 은진수 cls 10 : 화주니?
4:37PM, March 20, 2013, 전민영 cls11이조 : 나도 사야돼
4:37PM, March 20, 2013, 전민영 cls11이조 : ㅋㅋㅋ노트북
4:37PM, March 20, 2013, 전민영 cls11이조 : 돈좀아끼게
4:38PM, March 20, 2013, 은진수 cls 10 : 그건 안써봐서 모르겟음
4:38PM, March 20, 2013, 동권 : 에어 강추
4:38PM, March 20, 2013, 오성민 : 나도 한성컴
4:38PM, March 20, 2013, 전민영 cls11이조 : 윈도우깔아서써야대
4:39PM, March 20, 2013, 동권 : 윈도우로 뭐쓰게?
4:41PM, March 20, 2013, 전민영 cls11이조 : 운영체제를 윈도우쓴다고ㅋㅋ
4:41PM, March 20, 2013, 전민영 cls11이조 : 걍ㅋㅋ
4:41PM, March 20, 2013, 전민영 cls11이조 : 윈도우로 딱히뭘한다는건아닌데
4:41PM, March 20, 2013, 은진수 cls 10 : 첨에 설치 안해줌?
4:42PM, March 20, 2013, 이종혁 cls09이조 : 아마 한성은 거의 오에스 미포함 ㅋㅋ
4:42PM, March 20, 2013, 은진수 cls 10 : 오 ㅋㅋ
4:42PM, March 20, 2013, 이종혁 cls09이조 : 인민에어 머 스펙상으론 나쁘진않은거같은디
4:42PM, March 20, 2013, 이종혁 cls09이조 : As후기 검색하고 사봐
4:42PM, March 20, 2013, 이종혁 cls09이조 : ㅋㅋㅋㅋㅋ
4:43PM, March 20, 2013, 동권 : 걍 맥에 적응 ㄱㄱ ㅋㅋ
4:45PM, March 20, 2013, 전민영 cls11이조 : ㅋㅋㅋㅋㅋㅋ
4:45PM, March 20, 2013, 전민영 cls11이조 : 걍 맥살까
4:45PM, March 20, 2013, 전민영 cls11이조 : 프로그래밍할때 맥 쓰면좋나
4:46PM, March 20, 2013, 은진수 cls 10 : 너 미대자나
4:47PM, March 20, 2013, 전민영 cls11이조 : 미대는왜
4:47PM, March 20, 2013, 은진수 cls 10 : 맥으로 프로그램 쓰기 편하지 않음???
4:47PM, March 20, 2013, 전민영 cls11이조 : 그런지모르겠는데?ㅋㅋ
4:47PM, March 20, 2013, 은진수 cls 10 : 아님 말고 ㅋㅋ
4:48PM, March 20, 2013, 이종혁 cls09이조 : 뭔 개발을 하냐에 달렸지 ㅋㅋㅋ
4:48PM, March 20, 2013, 전민영 cls11이조 : 웹개발할건데
4:48PM, March 20, 2013, 이종혁 cls09이조 : 그럼 맥도 에디터 좋은거 많아서
4:48PM, March 20, 2013, 이종혁 cls09이조 : 쓸만할걸
4:48PM, March 20, 2013, 은진수 cls 10 : 난 정보문화학이라서 맥이 더 편한듯
4:49PM, March 20, 2013, 은진수 cls 10 : ㅇㅇ
4:49PM, March 20, 2013, 이종혁 cls09이조 : 윈도우 필요하면 보통
4:49PM, March 20, 2013, 이종혁 cls09이조 : 집에 데탑을 켜두고
4:49PM, March 20, 2013, 이종혁 cls09이조 : 원격으로 쓰는방법이있음
4:49PM, March 20, 2013, 전민영 cls11이조 : 올...
4:49PM, March 20, 2013, 은진수 cls 10 : 올...
4:49PM, March 20, 2013, 이종혁 cls09이조 : 맥북은 갖고다니면서
4:49PM, March 20, 2013, 이종혁 cls09이조 : 는 돈지랄이 약간...
4:49PM, March 20, 2013, 전민영 cls11이조 : 나 일하는곳에 데탑있음
4:49PM, March 20, 2013, 이종혁 cls09이조 : ㅋㅋㅋㅋㅋ
4:49PM, March 20, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋ
4:49PM, March 20, 2013, 은진수 cls 10 : 민영이 돈 많아
4:50PM, March 20, 2013, 전민영 cls11이조 : 돈다씀요즘
4:50PM, March 20, 2013, 전민영 cls11이조 : 진수형이돈많지
4:50PM, March 20, 2013, 이종혁 cls09이조 : 그럼 맥+데탑 추천
4:50PM, March 20, 2013, 이종혁 cls09이조 : ㅋㅋㅋㅋㅋㅋ
4:50PM, March 20, 2013, 은진수 cls 10 : 일반 군인의 2배 이상 받음
4:50PM, March 20, 2013, 이종혁 cls09이조 : 올ㅋ
4:50PM, March 20, 2013, 전민영 cls11이조 : ㅋㅋㅋ
4:50PM, March 20, 2013, 이종혁 cls09이조 : 는 식비로 나가지않나
4:50PM, March 20, 2013, 이종혁 cls09이조 : ㅋㅋㅋㅋㅋㅋ
4:50PM, March 20, 2013, 이종혁 cls09이조 : 교통비만 해도...
4:51PM, March 20, 2013, 전민영 cls11이조 : 식비랑교통비를주는거야
4:56PM, March 20, 2013, 이종혁 cls09이조 : 군인월급에 그거 붙여서 주는건가
4:56PM, March 20, 2013, 전민영 cls11이조 : 응ㅋㅋ
5:30PM, March 20, 2013, 오성민 : ㄴㅅㅅ 오늘 결보는 없디??
5:30PM, March 20, 2013, 동권 : 있기없기
5:31PM, March 20, 2013, 오성민 : 맞기안맞기
5:31PM, March 20, 2013, 오성민 : ..
5:31PM, March 20, 2013, 오성민 : 없는거 맞지?
5:31PM, March 20, 2013, 동권 : ㅇㅇㅇ
5:32PM, March 20, 2013, 오성민 : ♥
