KakaoTalk Chats 자전컴과방 (27)
Date Saved : 1:13PM, January 21, 2014


11:36AM, March 8, 2013
5:55PM, March 10, 2013, 동권 : ㄴㅅㅅ
5:55PM, March 10, 2013, 노승은 : 아 ㅋㅋ
6:40PM, March 10, 2013, 이현제 : 이니셜로 통하네욬ㅋㅋㅋ

1:36PM, March 11, 2013
1:36PM, March 11, 2013, 오성민 : 오늘 ㄴㄱㅅ 퀴즈 뭘공부해야할가?
2:09PM, March 11, 2013, 정형식프원 : 저그냥 pdf위주로.. ㅜㅜ







